id,created,updated,brand,target_product,niche,region,channel_name,youtube_channel_url,subscriber_count,subscriber_count_note,last_upload_date,last_upload_video_url,last_upload_video_title,other_platforms,social_links,youtube,instagram,tiktok,facebook,x,linkedin,contact_email,contact_method_suggested,comment_video_url,comment_text,dm_opener,status,priority,lead_quality,next_step,next_followup_date,notes
clint-larson,2026-02-02,2026-02-02,Clint (Clint's Reptiles),,Creator,,Clint (Clint's Reptiles),https://www.youtube.com/@ClintsReptiles,,TODO: enrich,,,,,,https://www.youtube.com/@ClintsReptiles,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Find best contact route + propose collab angle,,Collab/meet in Springville UT as part of road trip; explore kid-friendly visit/event | Find best contact route + propose collab angle
bambu-lab-support,2026-02-02,2026-02-02,Bambu Lab Support,,Brand/Company,,Bambu Lab Support,https://www.youtube.com/@BambuLabSupport,,TODO: enrich,,,,,,https://www.youtube.com/@BambuLabSupport,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,High,,Confirm Bambu Lab US HQ/location + best contact route,,Possible HQ/partner visit; 3D printing + maker overlap | Confirm Bambu Lab US HQ/location + best contact route
powerfuljre,2026-02-02,2026-02-02,PowerfulJRE (Joe Rogan Experience),,Creator/Comedy,,PowerfulJRE (Joe Rogan Experience),https://www.youtube.com/@joerogan,,TODO: enrich,,,,,,https://www.youtube.com/@joerogan,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,List realistic ways to meet (show/event/contacts),,Meet in Austin during Mothership stop (opportunistic) | List realistic ways to meet (show/event/contacts)
conservative-vibes,2026-02-02,2026-02-02,Conservative Vibes,,Creator,,Conservative Vibes,https://www.youtube.com/@conservativevibes,,TODO: enrich,,,,,,https://www.youtube.com/@conservativevibes,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab if route aligns | Research home base + contact route
whistlindiesel,2026-02-02,2026-02-02,WhistlinDiesel,,Creator,,WhistlinDiesel,https://www.youtube.com/@whistlindiesel,,TODO: enrich,,,,,,https://www.youtube.com/@whistlindiesel,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab; vehicle/creator overlap | Research home base + contact route
bigtime,2026-02-02,2026-02-02,BigTime,,Creator,,BigTime,https://www.youtube.com/@bigtimebigtimebigtime,,TODO: enrich,,,,,,https://www.youtube.com/@bigtimebigtimebigtime,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research home base + contact route,,Optional meet/collab; cars/motorcycles overlap | Research home base + contact route
linus-tech-tips,2026-02-02,2026-02-02,Linus Tech Tips,,Creator,,Linus Tech Tips,https://www.youtube.com/@LinusTechTips,,TODO: enrich,,,,,,https://www.youtube.com/@LinusTechTips,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research tour/events + contact route,,Optional meet/collab; tech/tools overlap | Research tour/events + contact route
wickens-wicked-reptiles,2026-02-02,2026-02-02,Wickens Wicked Reptiles,,Creator,,Wickens Wicked Reptiles,https://www.youtube.com/@WickensWickedReptiles,,TODO: enrich,,,,,,https://www.youtube.com/@WickensWickedReptiles,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,Reptile collab possibility on Midwest/Northeast pass | Research location + contact route
brandon-herrera,2026-02-02,2026-02-02,Brandon Herrera,,Creator,,Brandon Herrera,https://www.youtube.com/@BrandonHerrera,,TODO: enrich,,,,,,https://www.youtube.com/@BrandonHerrera,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Medium,,Research location + contact route,,Austin-area collab possibility (if convenient) | Research location + contact route
quartering,2026-02-02,2026-02-02,TheQuartering,,Creator,,TheQuartering,https://www.youtube.com/@TheQuartering,,TODO: enrich,,,,,,https://www.youtube.com/@TheQuartering,,,,,,,IG DM → X DM (verified) → email/contact form,,,,Target,Low,,Research location + contact route,,Optional meet/collab if convenient | Research location + contact route
